"ticker","ai_score","innovation_score","anomaly_score","strategic_profile","rd_intensity","patent_activity"
"9984 JT",0.775,0.775,1,"Balanced Performer",0.0000110141401333342,549725
"NVDA US",1.2,0.8,0.71855864104897,"AI Pioneer",0.000000286464673452276,171
"NVDA US",1.2,0.8,0.71855864104897,"AI Pioneer",0.000000286464673452276,171
"KO US",0.85,0.85,0.574999335360072,"Balanced Performer",0.03,13301
"SMCI US",0.66,0.55,0.548939718053238,"Underperformer",0.0000000595781369545674,0
"ORCL US",0.7,0.5,0.527316958236099,"Underperformer",0.0000000828571428571429,0
"PG US",0.775,0.775,0.499380433432998,"Balanced Performer",0.000000564600729898402,21225
"PG US",0.775,0.775,0.499380433432998,"Balanced Performer",0.000000564600729898402,21225
